LLM,ASR,ASR_key,Dataset,Dataset_key,Experiment,Language,Samples,Baseline WER,Corrected WER,WER Change (%),Improved,Degraded,Unchanged
GPT-OSS 120B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.38335569623613097,0.39442865105908587,-2.888428405178678,4,4,22
Llama 3.3 70B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.12372320120006551,34.996919037332205,20,1,9
Llama 3.3 70B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.7091310983702288,-238.30675070367647,5,5,20
Llama 3.3 70B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.16694578970014007,-21.550640107057255,3,5,22
Llama 3.3 70B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.2089385980796332,18.63146655660647,11,1,18
Llama 3.3 70B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.06861142125834305,-48.71341089772852,0,4,26
Llama 3.3 70B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.12448228234218457,-23.941033958100483,1,4,25
Llama 3.3 70B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.38335569623613097,1.8588868317672664,-384.8987115668865,4,8,18
Qwen2.5 72B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.13574713100263308,28.679652147495855,18,5,7
Qwen2.5 72B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.18955844879757924,9.566929121394514,9,5,16
Qwen2.5 72B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.12632890658325693,8.021882511681955,5,1,24
Qwen2.5 72B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.20095161430317574,21.741897862739894,11,0,19
Qwen2.5 72B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.05194475459167637,-12.588858996042212,0,2,28
Qwen2.5 72B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.09488114274104498,5.531400025864426,2,1,27
Qwen2.5 72B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.38335569623613097,0.38929841092884565,-1.5501829635144424,8,7,15
Qwen2.5 7B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.14458410753411763,24.036782456366485,17,2,11
Qwen2.5 7B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.23929237228150274,-14.159744398157056,2,8,20
Qwen2.5 7B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.12658371025911327,7.836363907363757,6,1,23
Qwen2.5 7B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.26603078454589424,-3.602374038350859,5,2,23
Qwen2.5 7B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.04613667378359555,0.0,0,0,30
Qwen2.5 7B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.10747373533363756,-7.006440032761644,1,3,26
Qwen2.5 7B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.38335569623613097,0.3816111907416255,0.45506184246991266,5,4,21
Qwen3 235B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.12189245328042611,35.95877788101117,18,2,10
Qwen3 235B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.18157478190086887,13.375714849074544,8,3,19
Qwen3 235B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.13142498010038312,4.31151042531846,3,1,26
Qwen3 235B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.20119327031546036,21.647787940025257,10,1,19
Qwen3 235B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.048914451561373334,-6.020758650281057,0,1,29
Qwen3 235B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.10522302308292532,-4.76551386843708,1,3,26
Qwen3 235B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.38335569623613097,0.3730826078108686,2.6797797779257664,10,5,15
